"id","committer","comunity","star","watcher","pull_request","dpdp","pdp"
"205134","8","10","15","12","6","TRUE","TRUE"
"10446","7","8","15","14","6","FALSE","TRUE"
"49933","12","17","24","17","6","TRUE","TRUE"
"85005","9","10","55","43","6","TRUE","TRUE"
"22065","4","5","40","26","6","TRUE","TRUE"
"89467","34","35","31","29","6","TRUE","TRUE"
"24350","1","1","8","1","6","TRUE","TRUE"
"61401","6","9","16","12","6","TRUE","TRUE"
"202862","2","2","5","1","5","TRUE","TRUE"
"205098","8","8","49","39","5","TRUE","TRUE"
"207907","3","3","5","0","5","TRUE","TRUE"
"44874","11","12","198","156","5","TRUE","TRUE"
"147371","8","13","36","35","5","FALSE","TRUE"
"183124","4","5","92","74","5","TRUE","TRUE"
"20939","8","45","110","105","5","TRUE","TRUE"
"88141","6","8","51","55","5","TRUE","TRUE"
"25974","9","12","435","372","5","TRUE","TRUE"
"95298","2","2","34","28","5","FALSE","FALSE"
"64623","11","11","77","40","5","FALSE","FALSE"
"196651","2","2","8","3","4","TRUE","TRUE"
"199620","10","20","144","124","4","TRUE","TRUE"
"137084","4","5","3","3","4","TRUE","TRUE"
"170216","3","3","12","9","4","FALSE","TRUE"
"205645","9","11","30","27","4","TRUE","TRUE"
"43342","1","2","8","5","4","TRUE","TRUE"
"180498","7","7","13","3","4","FALSE","TRUE"
"49927","7","9","16","17","4","FALSE","TRUE"
"122432","3","11","52","53","4","FALSE","FALSE"
"89878","4","10","175","103","4","TRUE","TRUE"
"90200","19","29","27","26","4","FALSE","TRUE"
"188597","3","6","38","17","4","TRUE","TRUE"
"59640","5","19","187","175","4","TRUE","TRUE"
"63301","10","14","183","136","4","FALSE","TRUE"
"196675","3","3","3","2","3","FALSE","FALSE"
"166255","4","7","27","30","3","TRUE","TRUE"
"38909","8","10","70","52","3","TRUE","TRUE"
"204192","2","2","3","2","3","FALSE","TRUE"
