pdp,readme_obsole,readme_unmaintained,readme_inactive,readme_nolonger,readme_http,readme_sample,readme_demo,readme_contributing,readme_contact,readme_howto,readme_author,readme_www,readme_reportbug,readme_build,readme_wiki,readme_deprecated,readme_abondoned,id,mirror,fork,moved,longer,test,personal,website,framework,tool,module,component,app,system,dotfiles,collection,blog,plugin,library,server,config,guide,set,repository,deprecated,file,demo,my,github,dot,simple,extension,helper,template,http,https,source,setting,listof,collectionof,setof,example,vim,committer,comunity,star,watcher,sample,university,school,practice,backup,intro,first,Tutorial,course,copy,nodescription,localization,storage,url_dot,url_config,url_doc,null,is_null,theme,resume,clone,translation,documentation,have_language,word,have_at,readme_setup,readme_install,readme_usage,readme_howtouse,readme_website,pull_request,obsole,unmaintained,inactive,cookbook,readme_cookbook,retired,readme_retired,readme_mirror,exportedfrom,abondoned
FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,727707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,213,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,604386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,233705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,227,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,656587,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,348,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,200350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,153,275,772,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,409,1,0,1,0,0,0,294,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,265979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,213,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
