DPDP,id,star,watcher,committer,comunity,have_language,pull_request
FALSE,2512008,1,0,1,1,1,0
TRUE,2514999,2,0,2,2,1,1
TRUE,1459121,34,30,6,8,1,7
FALSE,2509399,1,0,1,1,0,0
FALSE,351359,6,7,2,2,1,1
TRUE,590333,7,7,1,1,1,0
TRUE,2507519,0,0,1,1,1,0
FALSE,2512943,3,2,2,2,1,0
TRUE,1662794,4,4,1,1,1,0
FALSE,2255751,5,3,1,1,1,0
FALSE,84534,7,1,1,1,1,0
TRUE,1961541,6,3,5,7,1,5
FALSE,401600,24,23,5,6,1,1
FALSE,179523,0,1,2,2,1,1
TRUE,2226680,6,2,8,8,1,1
TRUE,2507046,1,0,1,1,1,0
FALSE,2512448,0,0,1,1,0,0
TRUE,2508206,1,0,1,1,1,0
TRUE,861292,1,1,1,1,1,0
TRUE,1392736,28,26,3,8,1,1
FALSE,2508384,2,0,1,1,1,0
TRUE,2511052,0,0,1,1,1,0
FALSE,2513990,1,0,1,1,0,0
FALSE,51138,4,4,1,1,0,0
FALSE,85176,1,2,13,13,1,0
FALSE,2510087,1,0,2,2,0,0
TRUE,2512930,7,7,3,3,1,1
TRUE,275535,2,1,1,1,1,0
TRUE,478276,115,43,33,34,1,16
TRUE,2510897,3,1,1,1,1,0
TRUE,354297,0,1,1,1,1,0
TRUE,604386,4,2,1,1,1,0
FALSE,149364,2,2,3,3,1,0
TRUE,2225981,3,2,1,1,1,0
TRUE,233705,5,5,3,5,1,1
FALSE,2506555,1,0,1,1,1,0
TRUE,2509189,0,0,1,1,0,0
TRUE,2511924,1,0,1,1,1,0
FALSE,2514927,1,0,1,1,1,0
TRUE,908085,72,73,1,1,1,0
FALSE,1484218,0,1,2,2,0,0
TRUE,1852240,8,6,1,1,1,0
TRUE,2227336,8,3,1,1,1,0
TRUE,2507481,1,0,1,1,1,0
TRUE,374190,7,1,3,4,1,6
TRUE,498648,3,0,2,2,1,1
TRUE,2195618,9,4,1,1,1,0
FALSE,2509068,0,0,2,2,1,0
FALSE,2511796,1,0,1,1,1,0
TRUE,323456,2,2,3,4,1,0
TRUE,2508715,1,1,1,1,1,0
