id,committer,comunity,star,watcher,pull_request
179380,4,4,10,6,1
179523,2,2,0,1,1
81440,10,11,15,12,1
17835,2,3,2,3,1
19068,2,4,12,11,1
183484,4,4,14,11,1
151267,5,5,63,46,1
85850,7,7,4,5,1
184983,2,2,54,28,1
119875,5,5,61,60,1
55256,1,2,52,16,1
88640,3,4,1,1,1
88797,4,4,34,38,1
188036,5,5,2,1,1
24914,3,4,63,61,1
123717,2,2,14,11,1
91461,2,2,2,2,1
59781,3,4,13,7,1
93207,3,3,23,11,1
93486,3,3,17,17,1
192059,6,12,128,97,1
63044,4,5,51,43,1
194342,3,3,26,19,1
96318,9,9,10,1,1
98140,4,5,24,14,1
65524,17,17,4,2,1
6940,1,1,3,2,0
7007,3,3,0,1,0
7503,2,2,49,28,0
10458,4,4,3,3,0
11925,1,1,14,7,0
12113,8,9,6,6,0
13467,5,17,1,3,0
14192,3,3,23,18,0
14366,1,1,1,0,0
19025,6,7,32,12,0
19294,1,1,12,11,0
19324,2,2,29,24,0
19390,1,1,35,26,0
21639,1,1,25,9,0
22140,1,1,44,12,0
25556,3,3,3,2,0
26393,1,1,25,28,0
26814,1,1,24,16,0
26837,1,1,2,2,0
27123,2,3,33,24,0
27584,1,1,24,6,0
27751,3,3,44,39,0
28024,1,1,2,1,0
28875,1,1,1,2,0
33113,4,4,4,4,0
33511,1,1,5,6,0
33891,1,1,1,1,0
33949,2,2,5,4,0
35675,2,2,7,3,0
35727,7,7,7,7,0
36555,3,3,2,2,0
37272,8,8,0,1,0
37894,67,70,14,15,0
37934,1,1,1,1,0
37948,1,1,31,19,0
38165,2,2,7,6,0
38238,2,3,37,28,0
39267,2,3,19,16,0
39462,1,1,19,16,0
40667,3,4,9,11,0
41751,3,3,2,2,0
42278,3,3,57,60,0
42777,13,13,9,9,0
42977,1,2,0,1,0
43161,2,2,104,95,0
43684,1,1,3,4,0
43960,1,1,1,1,0
44021,7,7,6,3,0
44034,2,3,56,50,0
44517,2,2,6,3,0
44586,1,1,41,25,0
44753,1,1,7,5,0
45143,4,6,41,41,0
46533,1,1,138,101,0
47028,1,1,6,5,0
47766,3,4,5,4,0
48672,2,4,11,13,0
49331,3,3,3,3,0
49804,1,1,2,1,0
51138,1,1,4,4,0
52683,2,2,1,1,0
53003,2,2,1,1,0
53337,3,3,1,1,0
54223,1,1,7,9,0
54527,2,2,6,5,0
54704,3,3,5,4,0
55279,1,1,0,1,0
55440,5,5,0,1,0
55784,2,2,20,18,0
58527,2,4,0,13,0
58821,2,2,1,1,0
58859,5,5,1,1,0
59483,1,1,8,8,0
59575,2,2,6,1,0
59653,1,2,3,3,0
59897,1,1,2,1,0
60137,1,1,5,4,0
60657,1,1,1,1,0
61049,1,1,143,37,0
61569,7,7,4,4,0
61947,2,17,2,2,0
61987,12,13,43,45,0
62890,2,2,86,82,0
63184,1,1,0,1,0
65125,1,1,1,1,0
67740,1,1,1,1,0
69365,2,2,1,1,0
70068,1,1,1,1,0
70211,8,8,2,1,0
70814,1,1,3,2,0
71019,2,4,15,14,0
72092,7,7,67,73,0
72879,8,8,2,2,0
73033,1,1,0,1,0
74238,3,4,2,1,0
74297,1,1,11,11,0
74512,1,1,3,2,0
75745,2,2,6,5,0
76910,1,1,2,2,0
77410,1,1,1,1,0
77971,3,3,2,1,0
81060,2,4,42,44,0
81569,1,1,2,2,0
82075,1,1,1,1,0
82582,2,2,2,1,0
82708,3,3,0,1,0
83759,1,1,1,2,0
84133,5,5,2,2,0
84253,3,3,1,6,0
84534,1,1,7,1,0
84792,3,3,1,1,0
85176,13,13,1,2,0
85339,2,2,0,0,0
85363,5,5,2,2,0
85669,1,1,0,1,0
86103,1,2,11,7,0
86575,7,7,2,2,0
86693,3,3,24,19,0
87043,1,1,1,1,0
87192,3,3,1,1,0
87477,1,1,2,1,0
87744,10,11,19,20,0
88292,2,2,2,2,0
88437,1,1,0,1,0
88829,2,2,2,2,0
89129,1,3,11,8,0
89776,4,4,4,3,0
92259,7,7,7,6,0
93988,1,1,4,4,0
94329,2,2,6,9,0
94414,2,2,14,8,0
94884,3,3,2,2,0
96537,1,1,0,1,0
96711,1,1,0,1,0
96835,1,1,4,4,0
97514,3,47,1,1,0
97540,2,2,22,23,0
98306,2,2,34,31,0
100977,3,3,5,7,0
102072,2,2,1,1,0
102881,6,6,2,3,0
103046,2,2,7,5,0
103226,3,3,1,1,0
103869,1,1,6,5,0
103887,2,2,0,1,0
104057,3,3,5,5,0
104688,1,1,1,1,0
105653,3,3,1,1,0
105895,3,18,0,1,0
106506,1,1,1,1,0
107161,1,1,1,1,0
107268,1,1,1,1,0
108175,1,1,1,1,0
108532,1,1,7,7,0
110452,1,1,53,50,0
111330,3,3,1,1,0
111505,1,1,1,1,0
111912,3,5,1,4,0
112761,2,2,2,3,0
113002,1,1,25,20,0
113117,1,1,18,16,0
113369,2,2,25,24,0
113814,1,2,7,7,0
114191,2,2,11,13,0
114337,2,3,1,1,0
114429,1,1,5,5,0
114572,1,2,34,24,0
116389,1,1,2,2,0
118066,2,2,4,4,0
118362,1,1,3,3,0
118769,3,7,69,70,0
118807,1,1,1,1,0
119824,1,1,3,2,0
120224,3,3,1,1,0
121000,6,6,3,3,0
121088,2,2,2,2,0
121841,1,1,3,6,0
122012,3,3,8,7,0
123043,2,2,1,1,0
124558,8,9,1,1,0
125778,2,2,2,3,0
126851,4,4,2,4,0
127948,1,1,0,0,0
128499,1,1,1,1,0
128778,6,7,1,1,0
128899,1,1,2,2,0
129861,2,2,1,1,0
132012,1,1,2,2,0
132119,1,1,2,2,0
132740,1,1,0,1,0
133126,4,4,1,2,0
133338,6,6,1,1,0
133895,23,23,11,13,0
135900,1,1,1,1,0
136005,3,3,1,2,0
136045,4,4,1,1,0
136162,6,6,0,1,0
137712,1,2,18,18,0
137777,2,2,5,5,0
138090,1,1,4,3,0
138629,3,3,1,1,0
139120,10,10,2,1,0
139781,1,1,2,2,0
140417,2,2,3,3,0
140496,1,1,1,1,0
140603,1,1,5,5,0
141569,9,9,5,4,0
141880,3,3,2,2,0
142052,1,1,2,2,0
142219,3,3,1,2,0
142774,2,2,4,4,0
146196,2,2,1,1,0
146811,1,1,3,4,0
147400,1,1,1,1,0
147996,2,2,4,5,0
149364,3,3,2,2,0
149831,1,2,1,1,0
149885,4,4,6,7,0
149914,4,4,1,1,0
150376,2,2,1,1,0
151774,1,1,1,1,0
152824,1,3,25,24,0
152855,5,5,1,1,0
153021,2,2,1,2,0
153941,1,1,4,3,0
153954,4,6,12,12,0
154594,3,3,4,6,0
157531,1,1,61,58,0
158840,2,2,1,1,0
160401,2,2,5,4,0
162298,3,4,4,4,0
163517,1,2,1,1,0
163636,1,2,29,32,0
163747,1,1,0,1,0
163916,1,1,0,1,0
164809,1,2,5,5,0
165237,5,6,1,2,0
166079,2,2,1,1,0
168927,1,5,21,23,0
171704,3,3,6,9,0
172744,1,1,1,0,0
177507,3,50,1,0,0
177808,1,1,4,0,0
178757,1,1,1,0,0
179115,6,17,185,177,0
181571,2,2,4,1,0
184421,1,1,2,2,0
188471,1,1,5,3,0
189238,2,2,0,0,0
190973,1,1,4,2,0
195306,2,2,6,4,0
199197,1,1,29,26,0
201292,2,5,105,44,0
203118,1,1,3,3,0
203817,6,7,3,2,0
204318,3,3,4,3,0
